"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","age_interval"
0.0977729553588847,-1.32798479444739,0.044,0.079,1,"RPS6P2","ExcitatoryNeuron","60-70"
0.0986884175739546,1.51150825213897,0.115,0.076,1,"LINC02948","ExcitatoryNeuron","60-70"
0.099170796575455,0.768614584494026,0.079,0.125,1,"PRAMEF10","ExcitatoryNeuron","60-70"
0.101632489433898,-0.578435448995543,0.031,0.061,1,"RASSF1","ExcitatoryNeuron","60-70"
0.110458485584901,-0.259796978078455,0.044,0.079,1,"ST13P15","ExcitatoryNeuron","60-70"
0.11099262421748,-1.24660982286293,0.053,0.087,1,"PTMAP14","ExcitatoryNeuron","60-70"
0.111306285153311,0.489452034321019,0.106,0.067,1,"SCARNA10","ExcitatoryNeuron","60-70"
0.113792846041351,-0.803792502941584,0.229,0.283,1,"MT-RNR1","ExcitatoryNeuron","60-70"
0.114253619507672,-0.923061582395571,0.053,0.09,1,"RPLP0","ExcitatoryNeuron","60-70"
0.115950655380219,0.847873743095371,0.04,0.073,1,"MXI1","ExcitatoryNeuron","60-70"
0.117608169341764,1.10133587000868,0.251,0.204,1,"SYT1","ExcitatoryNeuron","60-70"
0.118162441511814,-0.151966806923204,0.062,0.099,1,"ERVK-8","ExcitatoryNeuron","60-70"
0.120237420991031,-0.741971136263265,0.07,0.111,1,"SOCAR","ExcitatoryNeuron","60-70"
0.120412382280028,1.13096821946672,0.093,0.058,1,"RNU6-913P","ExcitatoryNeuron","60-70"
0.120885724942233,0.35568346821061,0.075,0.044,1,"RN7SL659P","ExcitatoryNeuron","60-70"
0.121447312806169,0.972709259033148,0.07,0.041,1,"LINC02271","ExcitatoryNeuron","60-70"
0.122177306959544,-0.47873294035861,0.066,0.105,1,"SRP9P1","ExcitatoryNeuron","60-70"
0.125490358737049,-1.01440855139616,0.079,0.047,1,"GOT2","ExcitatoryNeuron","60-70"
0.127007887675948,1.92482763882682,0.066,0.038,1,"PARD3B","ExcitatoryNeuron","60-70"
0.127142930958563,1.7977774583893,0.062,0.035,1,"RN7SKP275","ExcitatoryNeuron","60-70"
0.127207397299586,-1.13335631743759,0.026,0.052,1,"CDCA3","ExcitatoryNeuron","60-70"
0.129216603481572,-1.18115060728009,0.04,0.07,1,"LINC00910","ExcitatoryNeuron","60-70"
0.133063512479964,0.364114068324937,0.194,0.146,1,"RPL21P95","ExcitatoryNeuron","60-70"
0.136388527868259,-1.12104103784899,0.132,0.175,1,"COL24A1","ExcitatoryNeuron","60-70"
0.13990112951919,-0.930523392860283,0.181,0.236,1,"OSBPL9","ExcitatoryNeuron","60-70"
0.14035264793344,0.939907384097863,0.084,0.052,1,"SNORD103C","ExcitatoryNeuron","60-70"
0.141705268590122,-0.313898356810176,0.048,0.079,1,"PSMD3-AS1","ExcitatoryNeuron","60-70"
0.142444672336068,0.308915395131246,0.11,0.16,1,"NREP-AS1","ExcitatoryNeuron","60-70"
0.149633619180211,-0.204001155359003,0.128,0.175,1,"RNU6-114P","ExcitatoryNeuron","60-70"
0.152757966066736,1.56826517414907,0.066,0.041,1,"NSA2P1","ExcitatoryNeuron","60-70"
0.154330750156208,3.77659666316756,0.066,0.041,1,"CRADD","ExcitatoryNeuron","60-70"
0.156591628508446,0.484676860034614,0.11,0.076,1,"ZFY","ExcitatoryNeuron","60-70"
0.162574613140031,-0.247875972122893,0.053,0.085,1,"SLC16A1","ExcitatoryNeuron","60-70"
0.162790347860376,-2.65717610872818,0.035,0.061,1,"RN7SL664P","ExcitatoryNeuron","60-70"
0.164138348108892,-1.03903733809026,0.026,0.05,1,"SSU72P1","ExcitatoryNeuron","60-70"
