"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig_threshold"
0.143768447192992,-0.872169423821822,0.107,0.128,1,"RN7SL559P","ExcitatoryNeuron",FALSE
0.148913685478,0.576304127738284,0.099,0.08,1,"ZNF784","ExcitatoryNeuron",FALSE
0.149131311689047,-0.500474181549149,0.067,0.05,1,"DIRAS1","ExcitatoryNeuron",FALSE
0.156716861886148,-0.799384737044797,0.092,0.111,1,"URGCP","ExcitatoryNeuron",FALSE
0.159606966320127,-0.698935659602415,0.049,0.064,1,"RN7SL411P","ExcitatoryNeuron",FALSE
0.15966868508835,0.429989819929744,0.057,0.074,1,"MYL6BP1","ExcitatoryNeuron",FALSE
0.162705640946453,0.584635702688958,0.143,0.122,1,"GALNT8","ExcitatoryNeuron",FALSE
0.170224519928822,0.333300855731504,0.132,0.111,1,"ADRA1A","ExcitatoryNeuron",FALSE
0.17171689842222,0.396529097731343,0.049,0.064,1,"GREM2","ExcitatoryNeuron",FALSE
0.174537685438141,0.508366780909161,0.143,0.123,1,"ABHD17AP9","ExcitatoryNeuron",FALSE
0.181034318424675,0.251174204822707,0.199,0.175,1,"MAS1L","ExcitatoryNeuron",FALSE
0.183116445751132,-0.497641038511451,0.069,0.054,1,"RPS25P10","ExcitatoryNeuron",FALSE
0.183760241014795,-0.203304158268567,0.065,0.05,1,"CAMLG","ExcitatoryNeuron",FALSE
0.186098079950606,-0.291229577817137,0.108,0.129,1,"ACTB","ExcitatoryNeuron",FALSE
0.18856278906124,-0.493917858517239,0.077,0.06,1,"RNU6-1179P","ExcitatoryNeuron",FALSE
0.190166199707173,-0.297522969243379,0.097,0.115,1,"IGHVII-28-1","ExcitatoryNeuron",FALSE
0.192154095455203,0.56907498564826,0.078,0.063,1,"PUS10","ExcitatoryNeuron",FALSE
0.193191089329489,0.592984473175373,0.118,0.1,1,"SLC25A3P2","ExcitatoryNeuron",FALSE
0.196065844437479,-0.37266360996388,0.06,0.046,1,"NOC2LP2","ExcitatoryNeuron",FALSE
0.197565007586642,0.259820102811629,0.06,0.046,1,"TBC1D9","ExcitatoryNeuron",FALSE
0.202144365465279,0.164782338416643,0.109,0.092,1,"TNFRSF14-AS1","ExcitatoryNeuron",FALSE
0.208464228019034,1.47677919371756,0.056,0.044,1,"MT-TM","ExcitatoryNeuron",FALSE
0.208633983458038,-0.50373958909537,0.079,0.095,1,"SOCAR","ExcitatoryNeuron",FALSE
0.218839881387079,0.488610469897159,0.097,0.081,1,"NFU1","ExcitatoryNeuron",FALSE
0.220636797065179,0.294627862764244,0.057,0.045,1,"SDHB","ExcitatoryNeuron",FALSE
0.225831609941991,-0.880560755685901,0.05,0.063,1,"RN7SKP179","ExcitatoryNeuron",FALSE
0.235614557213164,-0.855186590236841,0.089,0.105,1,"LINC01808","ExcitatoryNeuron",FALSE
0.239484347528663,0.575019982638939,0.147,0.129,1,"ZNF471","ExcitatoryNeuron",FALSE
0.245572733457358,-0.149664847361338,0.058,0.072,1,"RTF1","ExcitatoryNeuron",FALSE
0.252174382597037,0.408781657058445,0.077,0.063,1,"ANKRD36BP2","ExcitatoryNeuron",FALSE
0.253075660863609,-0.289828015424951,0.057,0.071,1,"PTMAP14","ExcitatoryNeuron",FALSE
0.253870127390233,-0.347150606919243,0.053,0.041,1,"KRT18P29","ExcitatoryNeuron",FALSE
0.254401504998369,0.370696740765671,0.084,0.1,1,"MAB21L2","ExcitatoryNeuron",FALSE
0.258821847016435,0.872831552368639,0.051,0.04,1,"LMO7","ExcitatoryNeuron",FALSE
0.260035202638914,0.387629005197806,0.074,0.09,1,"PAX9","ExcitatoryNeuron",FALSE
0.267916979520389,-0.244600943620538,0.15,0.168,1,"OR7E29P","ExcitatoryNeuron",FALSE
0.274256455419946,0.179968448233292,0.067,0.081,1,"LINC01254","ExcitatoryNeuron",FALSE
0.274885346255931,0.278080869779702,0.225,0.207,1,"RPL10","ExcitatoryNeuron",FALSE
0.279442174231998,0.496818117211102,0.053,0.043,1,"RNU6-958P","ExcitatoryNeuron",FALSE
0.280331842726791,0.314808751771112,0.072,0.086,1,"SLC16A1","ExcitatoryNeuron",FALSE
0.283141472552184,0.455877501487571,0.069,0.083,1,"NDUFA5P6","ExcitatoryNeuron",FALSE
0.283722415957699,-0.623334242115532,0.061,0.073,1,"ARL4AP3","ExcitatoryNeuron",FALSE
0.283764809063507,-0.256384968116214,0.05,0.039,1,"TMEM147-AS1","ExcitatoryNeuron",FALSE
0.283926515122907,0.20720636181061,0.148,0.169,1,"NREP-AS1","ExcitatoryNeuron",FALSE
0.288665708626907,0.142188464964392,0.082,0.068,1,"ST13P2","ExcitatoryNeuron",FALSE
0.297487496923462,-1.02323823026763,0.047,0.057,1,"SNORA11C","ExcitatoryNeuron",FALSE
0.299954144397755,-0.773056991636933,0.053,0.064,1,"OR5H3P","ExcitatoryNeuron",FALSE
0.300743394301946,0.340800515298873,0.069,0.083,1,"CFC1B","ExcitatoryNeuron",FALSE
0.303149697197096,0.613019398361149,0.055,0.045,1,"AQP1","ExcitatoryNeuron",FALSE
0.303198833018549,1.11248609896761,0.057,0.047,1,"COX7CP1","ExcitatoryNeuron",FALSE
0.303705323039873,-0.237376247918716,0.101,0.116,1,"CENPN","ExcitatoryNeuron",FALSE
0.304173422052782,0.338332265727798,0.154,0.14,1,"UBL5P1","ExcitatoryNeuron",FALSE
0.305191240286868,-0.694986371868504,0.084,0.096,1,"PI4K2A","ExcitatoryNeuron",FALSE
0.306420517259367,0.52558400145871,0.073,0.062,1,"RPS26P52","ExcitatoryNeuron",FALSE
0.306812475381077,-0.102464763606071,0.089,0.075,1,"LSM3P3","ExcitatoryNeuron",FALSE
0.307063880879322,0.258748040740976,0.081,0.095,1,"KRT1","ExcitatoryNeuron",FALSE
0.307383928788198,1.12741380386538,0.079,0.067,1,"POLQ","ExcitatoryNeuron",FALSE
0.307989517220703,0.28341910349003,0.198,0.179,1,"PRAMEF20","ExcitatoryNeuron",FALSE
0.315381315225832,0.942947887236818,0.05,0.04,1,"TRHDE-AS1","ExcitatoryNeuron",FALSE
0.315607478564912,0.369466304477792,0.068,0.057,1,"RPL27AP4","ExcitatoryNeuron",FALSE
0.31658763400479,-0.407835840973835,0.151,0.132,1,"TRAV26-1","ExcitatoryNeuron",FALSE
0.328940289578723,-0.626692040583485,0.078,0.09,1,"ZNF430","ExcitatoryNeuron",FALSE
0.329191253358893,1.27161993420873,0.054,0.045,1,"SLC26A4-AS1","ExcitatoryNeuron",FALSE
0.331046051801511,-0.126635524803348,0.067,0.056,1,"COL1A1","ExcitatoryNeuron",FALSE
0.331888035073238,-0.135446387265038,0.465,0.477,1,"GRIN2A","ExcitatoryNeuron",FALSE
0.332100181289856,0.411976170176833,0.056,0.067,1,"ST13P15","ExcitatoryNeuron",FALSE
0.332136472465858,0.253797570897567,0.087,0.075,1,"GARNL3","ExcitatoryNeuron",FALSE
0.332487199399498,0.146463636060397,0.337,0.316,1,"MT-ATP6","ExcitatoryNeuron",FALSE
0.332761127109476,0.526001504552206,0.053,0.044,1,"NUCKS1","ExcitatoryNeuron",FALSE
0.334233443794618,0.171137256115021,0.158,0.177,1,"SLC28A3-AS1","ExcitatoryNeuron",FALSE
0.337471273240737,-0.216330866856592,0.104,0.119,1,"RUFY3","ExcitatoryNeuron",FALSE
0.33832292544229,0.295542761093497,0.252,0.231,1,"MIR3168","ExcitatoryNeuron",FALSE
0.354167401667373,0.141077725774938,0.114,0.128,1,"POLR3F","ExcitatoryNeuron",FALSE
0.359255411052607,-0.343188525907386,0.114,0.128,1,"HAUS5","ExcitatoryNeuron",FALSE
0.361625183254739,-0.193477260757549,0.052,0.043,1,"PREPL","ExcitatoryNeuron",FALSE
0.365819032964013,0.29345820150311,0.087,0.1,1,"RXYLT1-AS1","ExcitatoryNeuron",FALSE
0.365949092612282,-0.615225556254062,0.066,0.076,1,"TBC1D3E","ExcitatoryNeuron",FALSE
0.366010295575649,-0.113018553320584,0.274,0.289,1,"TMEM202","ExcitatoryNeuron",FALSE
0.366126552204841,-0.282858727143322,0.044,0.053,1,"HCG4P1","ExcitatoryNeuron",FALSE
0.366782658529003,-0.279463750678142,0.045,0.054,1,"NUP107-DT","ExcitatoryNeuron",FALSE
0.371083946402741,-0.475835571111472,0.056,0.066,1,"UNC93B2","ExcitatoryNeuron",FALSE
0.376727415499187,0.631301792351604,0.126,0.114,1,"PRKACB-DT","ExcitatoryNeuron",FALSE
0.381111565767268,0.163766383154818,0.138,0.153,1,"SHTN1","ExcitatoryNeuron",FALSE
0.384349194101814,-0.400753155651056,0.062,0.072,1,"TMEM86B","ExcitatoryNeuron",FALSE
0.390306922298606,-0.530995368862232,0.088,0.101,1,"RPS28P6","ExcitatoryNeuron",FALSE
0.391716178480966,-0.65809279766633,0.094,0.105,1,"SEMA6A","ExcitatoryNeuron",FALSE
0.394733387891576,-0.568864510817291,0.048,0.056,1,"RNA5SP500","ExcitatoryNeuron",FALSE
0.394892005451864,-0.222140965233161,0.061,0.052,1,"HNRNPDLP2","ExcitatoryNeuron",FALSE
0.399361151393004,1.02200122807488,0.073,0.064,1,"ANXA13","ExcitatoryNeuron",FALSE
0.405988273981707,-0.155709568492839,0.09,0.08,1,"RNU6-100P","ExcitatoryNeuron",FALSE
0.410768437853689,-0.195216006120928,0.051,0.043,1,"PARD3B","ExcitatoryNeuron",FALSE
0.41150799703862,-0.121034066343578,0.153,0.167,1,"RNU6-765P","ExcitatoryNeuron",FALSE
0.411770558149071,0.337104219832765,0.628,0.619,1,"NEFL","ExcitatoryNeuron",FALSE
0.414546879002085,-1.1093563336712,0.061,0.069,1,"RNU6-1280P","ExcitatoryNeuron",FALSE
0.41464572361484,-0.538937592514343,0.063,0.072,1,"ACTRT1P1","ExcitatoryNeuron",FALSE
0.41706617021909,0.267066765987759,0.118,0.13,1,"TINAG","ExcitatoryNeuron",FALSE
0.427221517219218,-0.169189000928214,0.175,0.16,1,"RAB9BP1","ExcitatoryNeuron",FALSE
0.428604999324972,-1.11225484833154,0.045,0.053,1,"KHSRPP1","ExcitatoryNeuron",FALSE
0.43448335170188,-0.610847930222671,0.065,0.074,1,"SLC2A11","ExcitatoryNeuron",FALSE
0.446096771956409,-0.171968718274323,0.048,0.056,1,"EIF3I","ExcitatoryNeuron",FALSE
